Albania,,
Algeria,,
Angola,,
Antigua,,
Argentina,,
Armenia,,
Aruba,,
Australia,,
Austria,,
Azerbaijan,,
Bahrain,,
Bangladesh,,
Barbados,,
Belarus,,
Belgium,,
Belize,,
Bissau,,
Bolivia,,
Bosnia_Herzegovina,,
Bulgaria,,
Burkina_Faso,,
Burundi,,
Cambodia,,
Cameroon,,
Canada,,
Cayman_Islands,,
Chile,,
China,,
Colombia,,
Congo_Brazzaville,,
Congo_Kinshasa,,
Cook_Islands,,
Costa_Rica,,
Croatia,,
Cuba,,
Cyprus,,
Czech_Republic,,
Denmark,,
Dominica,,
Dominican_Republic,,
Dutch_Antilles,,
Ecuador,,
Egypt,,
El_Salvador,,
England,,
Estonia,,
Faroe_Islands,,
Fiji,,
Finland,,
Gabon,,
Gambia,,
Georgia,,
Germany,,
Ghana,,
Greece,,
Grenada,,
Guatemala,,
Guinea,,
Guyana,,
Haiti,,
Honduras,,
Hongkong,,
Hungary,,
Iceland,,
India,,
Indonesia,,
Iran,,
Iraq,,
Ireland,,
Israel,,
Italy,,
Ivory_Coast,,
Jamaica,,
Japan,,
Jordan,,
Kazakhstan,,
Kenya,,
Kuwait,,
Kyrgyzstan,,
Latvia,,
Lebanon,,
Liberia,,
Liechtenstein,,
Lithuania,,
Luxembourg,,
Macao,,
Macedonia,,
Madagascar,,
Malawi,,
Malaysia,,
Maldives,,
Malta,,
Mauritania,,
Mauritius,,
Mexico,,
Moldova,,
Morocco,,
Mozambique,,
Namibia,,
Nepal,,
Netherlands,,
Nevis,,
New_Zealand,,
Nicaragua,,
Nigeria,,
Northern_Ireland,,
Norway,,
Oman,,
Pakistan,,
Panama,,
Papua_New_Guinea,,
Paraguay,,
Peru,,
Philippines,,
Poland,,
Portugal,,
Puerto_Rico,,
Qatar,,
Romania,,
Ruanda,,
Russia,,
Saint_Lucia,,
Saint_Vincent_Grenadines,,
San_Marino,,
Saudi_Arabia,,
Scotland,,
Senegal,,
Sierra_Leone,,
Singapore,,
Slovakia,,
Slovenia,,
Solomon_Islands,,
South_Africa,,
South_Korea,,
Spain,,
Sri_Lanka,,
St_Kitts_and_Nevis,,
Sudan,,
Surinam,,
Swaziland,,
Sweden,,
Switzerland,,
Syria,,
Tahiti,,
Taiwan,,
Tajikistan,,
Tanzania,,
Thailand,,
Tobago,,
Togo,,
Tonga,,
Trinidad,,
Tunisia,,
Turkey,,
Turkmenistan,,
UAE,,
Uganda,,
Ukraine,,
Uruguay,,
USA,,
Uzbekistan,,
Vanuatu,,
Venezuela,,
Vietnam,,
Wales,,
Western_Samoa,,
Yemen,,
Yugoslavia,,
Zaire,,
Zambia,,
Zimbabwe,,
EINDE,,
Greece,Slovenia,1
Greece,Bosnia_Herzegovina,1
Slovenia,Denmark,0
Bosnia_Herzegovina,Croatia,0
Denmark,Greece,1
Slovenia,Bosnia_Herzegovina,0
Croatia,Greece,0.5
Croatia,Denmark,0.5
Bosnia_Herzegovina,Greece,0
Croatia,Slovenia,0.5
Denmark,Slovenia,1
Greece,Croatia,0
Denmark,Bosnia_Herzegovina,1
Bosnia_Herzegovina,Denmark,1
Croatia,Bosnia_Herzegovina,1
Slovenia,Greece,0
Denmark,Croatia,1
Bosnia_Herzegovina,Slovenia,1
Slovenia,Croatia,0
Greece,Denmark,0.5
Moldova,England,0
Moldova,Italy,0
England,Poland,1
Italy,Georgia,1
Georgia,England,0
Poland,Moldova,1
England,Italy,0
Italy,Moldova,1
Poland,Italy,0.5
Italy,Poland,1
England,Georgia,1
Poland,England,0
Georgia,Moldova,1
Poland,Georgia,1
England,Moldova,1
Georgia,Italy,0.5
Moldova,Georgia,0
Moldova,Poland,0
Georgia,Poland,1
Italy,England,0.5
Norway,Azerbaijan,1
Azerbaijan,Switzerland,1
Hungary,Finland,1
Finland,Switzerland,0
Norway,Hungary,1
Switzerland,Norway,0
Azerbaijan,Hungary,0
Azerbaijan,Finland,0
Norway,Finland,0.5
Switzerland,Hungary,1
Finland,Azerbaijan,1
Hungary,Norway,0.5
Finland,Norway,0
Hungary,Switzerland,0.5
Azerbaijan,Norway,0
Switzerland,Finland,0
Norway,Switzerland,1
Hungary,Azerbaijan,1
Finland,Hungary,0.5
Switzerland,Azerbaijan,1
Sweden,Belarus,1
Belarus,Estonia,1
Austria,Scotland,0.5
Latvia,Sweden,0
Estonia,Belarus,1
Latvia,Scotland,0
Sweden,Austria,0
Belarus,Latvia,0.5
Austria,Latvia,1
Scotland,Sweden,1
Estonia,Scotland,0.5
Scotland,Estonia,1
Scotland,Austria,1
Latvia,Belarus,1
Sweden,Scotland,1
Austria,Estonia,1
Estonia,Latvia,0
Belarus,Scotland,0
Latvia,Austria,0
Estonia,Sweden,0
Estonia,Austria,0
Belarus,Sweden,0
Latvia,Estonia,1
Austria,Sweden,1
Scotland,Belarus,1
Belarus,Austria,0
Sweden,Latvia,1
Austria,Belarus,1
Sweden,Estonia,1
Scotland,Latvia,1
Israel,Bulgaria,1
Russia,Cyprus,1
Luxembourg,Bulgaria,0
Israel,Russia,0.5
Cyprus,Israel,1
Luxembourg,Russia,0
Cyprus,Bulgaria,0
Israel,Luxembourg,1
Cyprus,Russia,0.5
Luxembourg,Israel,0
Bulgaria,Cyprus,1
Israel,Cyprus,1
Russia,Luxembourg,1
Russia,Israel,1
Bulgaria,Luxembourg,1
Bulgaria,Israel,1
Luxembourg,Cyprus,0
Bulgaria,Russia,1
Cyprus,Luxembourg,1
Russia,Bulgaria,1
Yugoslavia,Faroe_Islands,1
Yugoslavia,Malta,1
Faroe_Islands,Slovakia,0
Faroe_Islands,Spain,0
Czech_Republic,Malta,1
Slovakia,Malta,1
Faroe_Islands,Yugoslavia,0
Czech_Republic,Spain,0.5
Slovakia,Faroe_Islands,1
Yugoslavia,Czech_Republic,1
Spain,Slovakia,1
Spain,Yugoslavia,1
Malta,Spain,0
Spain,Malta,1
Malta,Slovakia,0
Czech_Republic,Yugoslavia,0
Malta,Faroe_Islands,0
Yugoslavia,Spain,0.5
Faroe_Islands,Malta,1
Yugoslavia,Slovakia,1
Spain,Czech_Republic,1
Czech_Republic,Faroe_Islands,1
Slovakia,Czech_Republic,1
Faroe_Islands,Czech_Republic,0
Slovakia,Yugoslavia,0.5
Malta,Czech_Republic,0
Slovakia,Spain,0
Malta,Yugoslavia,0
Czech_Republic,Slovakia,1
Spain,Faroe_Islands,1
San_Marino,Wales,0
Wales,San_Marino,1
Belgium,Turkey,1
Wales,Netherlands,0
San_Marino,Belgium,0
Netherlands,Wales,1
Turkey,San_Marino,1
Wales,Turkey,0.5
Belgium,Netherlands,0
Wales,Belgium,0
Netherlands,San_Marino,1
Turkey,Netherlands,1
Turkey,Belgium,0
San_Marino,Netherlands,0
Belgium,San_Marino,1
Turkey,Wales,1
Netherlands,Belgium,1
San_Marino,Turkey,0
Netherlands,Turkey,0.5
Belgium,Wales,1
Macedonia,Liechtenstein,1
Iceland,Macedonia,0.5
Romania,Lithuania,1
Liechtenstein,Ireland,0
Lithuania,Iceland,1
Iceland,Romania,0
Ireland,Macedonia,1
Lithuania,Liechtenstein,1
Liechtenstein,Macedonia,0
Ireland,Iceland,0.5
Macedonia,Romania,0
Romania,Liechtenstein,1
Macedonia,Ireland,1
Lithuania,Romania,0
Liechtenstein,Lithuania,0
Romania,Ireland,1
Ireland,Liechtenstein,1
Macedonia,Iceland,1
Iceland,Lithuania,0.5
Liechtenstein,Iceland,0
Romania,Macedonia,1
Ireland,Lithuania,0.5
Iceland,Ireland,0
Liechtenstein,Romania,0
Lithuania,Macedonia,1
Romania,Iceland,1
Lithuania,Ireland,0
Ireland,Romania,0.5
Iceland,Liechtenstein,1
Macedonia,Lithuania,0
Northern_Ireland,Ukraine,0
Armenia,Portugal,0.5
